5,1,43067,47.873,25.601,20234,-11.31,74.445,26336,-101.39,25.059,968.37,150,5.1026e+05
5,2,-25772,98.53,30.796,70390,50.868,78.359,57602,-96.255,35.616,6604.5,259.28,89.689
5,3,-31229,82.526,37.822,42954,79.728,82.938,23925,-88.153,45.682,782.33,311.16,58.857
5,4,6272,105.14,23.589,12941,44.211,90.497,12385,-93.05,38.474,322.51,282.86,78.626
5,5,-38181,47.548,21.435,-14210,-4.299,47.663,-17279,-100.14,28.265,-629.72,278.3,63.403
20,1,1.1232e+05,43.131,19.539,38012,-7.1388,65.521,50861,-91.096,21.964,8266.6,195.12,142.73
20,2,26975,68.602,34.04,32580,57.588,134.03,46396,-88.014,26.952,9069.6,301.33,60.218
20,3,29979,130.78,18.985,34508,41.978,79.209,49519,-81.957,33.153,19439,181.6,116.31
20,4,-39094,92.343,20.964,64119,96.412,89.91,48811,-76.908,38.429,9728.6,287.35,34.077
20,5,-88763,42.918,14.791,-28207,17.161,26.576,-15273,-99.965,9.1815,37500,150,62.109
53,1,2.323e+05,43.078,17.9,1.0142e+05,30.281,32.548,40204,-43.799,54.276,11845,150,135.06
53,2,1.8889e+05,48.799,21.294,61529,27.09,56.51,27854,-63.551,36.371,17639,150,141.88
53,3,88645,53.786,22.068,77223,57.649,59.665,29556,-48.636,45.821,25756,150,132.88
53,4,78832,107.81,23.535,59346,69.074,37.472,21429,3.9001,74.992,5008.8,199.43,105.48
53,5,-2.1694e+05,44.064,14.094,-1.2085e+05,27.141,20.128,-30608,-43.865,53.661,-6021.5,216.13,43.037
70,1,1.5085e+05,44.693,22.229,36472,-8.7517,77.812,58987,-87.412,27.208,5096.9,150,157.08
70,2,63745,57.77,21.701,54721,57.154,86.488,62553,-81.834,34.39,6436,229.31,41.629
70,3,93137,81.417,43.862,31342,-4.0029,82.981,52669,-83.723,29.372,3474.5,240.24,83.734
70,4,1.0818e+05,77.642,30.731,39638,23.157,69.571,61463,-80.312,33.878,3898.6,217.92,103.55
70,5,-79367,45.624,10.273,-65211,30.424,16.123,-12731,-100.01,16.332,17.013,352.13,41.191
71,1,81505,45.953,20.324,27457,-23.4,92.088,1.2455e+05,-107.29,16.932,8345.2,249.94,63.841
71,2,34612,54.145,21.956,27270,21.786,137.17,1.0494e+05,-105.04,21.227,9347.4,262.49,42.045
71,3,-1.1567e+07,38.762,94.772,1.159e+07,38.808,94.973,96303,-103.69,21.597,9053.2,253.65,45.395
71,4,64553,79.792,28.248,25436,1.2143,110.38,1.0937e+05,-100.9,20.582,8391.9,256.56,48.581
71,5,-53661,46.142,10.094,-26373,29.764,16.541,-40580,-115.61,9.0756,124.08,329.19,20.882
92,1,-81246,80.245,25.162,1.3806e+05,42.33,58.292,2.1875e+05,-95.5,28.224,11046,212.08,42.429
92,2,63104,52.289,28.966,48156,-10.106,85.486,1.9686e+05,-96.525,25.647,14892,150,138.57
92,3,-7.1595e+07,24.925,74.015,7.165e+07,24.939,74.068,2.0595e+05,-94.462,23.622,10606,208.03,42.902
92,4,73146,83.407,26.788,59833,18.306,90.726,1.8923e+05,-92.615,28.157,9595.2,208.62,43.203
92,5,-70600,42.016,11.378,-48687,23.371,18.773,-39043,-108.51,14.481,146.77,329.83,41.747
100,1,1.4239e+05,44.435,25.277,35956,3.4916,80.792,63683,-85.479,26.718,10751,211.12,68.743
100,2,69338,62.084,31.329,38248,56.817,129.24,64174,-79.728,26.809,10578,223.3,32.11
100,3,8.9627e+05,81.658,98.755,-8.2592e+05,81.628,99.345,66187,-76.085,30.242,1974.2,201.6,453.19
100,4,1.1063e+05,75.926,37.393,31705,-3.9172,74.435,58352,-75.406,28.142,11653,193.7,73.532
100,5,-72601,45.074,11.362,-65144,27.458,18.134,-25270,-101.41,15.325,210.86,338.21,36.263
102,1,-66922,77.535,27.078,1.1177e+05,43.949,55.073,1.9977e+05,-104.14,25.167,10890,216.51,39.35
102,2,70618,54.03,50.673,31795,-64.097,54.303,1.7033e+05,-102.73,23.281,10117,189.7,89.593
102,3,-38257,70.765,19.837,70456,71.449,83.229,1.9417e+05,-99.936,24.665,10414,222.14,20.386
102,4,40863,86.857,42.128,24983,21.211,116.95,93431,-105.12,34.741,5057.6,250.69,66.055
102,5,-70757,36.417,16.041,-32900,12.549,25.519,-1.0906e+05,-105.08,15.991,4876.7,276.25,21.012
121,1,1.9926e+08,5.2816,37.198,-1.992e+08,5.2712,37.182,1.4934e+05,-103.02,28.779,11480,202.35,73.475
121,2,59090,50.501,21.471,46936,24.537,115.77,1.2964e+05,-102.27,27.732,12776,232.83,50.962
121,3,76256,71.282,68.944,39822,-60.719,53.921,1.1995e+05,-103.81,25.825,12887,222.61,36.028
121,4,95569,69.099,37.204,39132,-23.086,79.07,1.1495e+05,-101.37,28.343,11789,206.79,60.453
121,5,1.7301e+05,61.573,32.597,-1.8966e+05,43.918,28.371,-30456,-113.73,16.073,59.69,344.09,44.243
122,1,88655,44.948,36.972,32565,-43.84,70.432,1.0191e+05,-109.49,28.341,6617.5,150,205.46
122,2,52585,57.865,62.937,32599,-67.988,51.482,93650,-106.93,26.134,11342,150,195.17
122,3,-20539,96.29,24.7,51041,77.044,137.99,98687,-99.79,31.425,4455.5,330.97,43.127
122,4,61316,90.82,61.147,32068,-27.122,75.207,94338,-98.775,29.595,5981.1,217.06,149.95
122,5,-45817,47.019,18.788,-27833,21.427,27.703,-41411,-126.57,17.887,27684,150,79.95
