5,1,32707,54.448,18.409,21148,32.299,26.714,23109,-102.18,21.55,18873,-21.761,96.629
5,2,49547,42.866,30.768,-12025,29.58,19.951,47803,-100.71,23.382,35363,15.578,135.02
5,3,1.4793e+06,160.88,36.219,22949,28.213,69.403,24312,-92.038,39.44,-1.4647e+06,161.15,35.977
5,4,13178,49.368,86.012,5905.9,105.95,22.089,11894,-100.38,29.933,4867.2,-59.357,33.823
5,5,-31119,54.057,15.608,-22623,30.733,24.563,-17364,-104.46,20.914,-10632,-31.115,53.712
20,1,64227,50.234,11.786,71809,35.501,18.717,43382,-91.571,17.891,34946,-5.1608,100.44
20,2,50557,69.041,89.643,-15798,22.802,0.21989,49744,-93.134,23.231,19835,-57.859,29.762
20,3,41748,87.712,144.77,-8.1879e+06,-59.359,43.302,41628,-90.923,21.852,8.203e+06,-59.362,43.248
20,4,46219,98.316,115.86,13964,-42.831,31.519,99165,-82.356,22.942,-53759,-80.068,19.463
20,5,-48907,51.151,7.5615,-77986,37.683,13.485,-15272,-99.97,9.1819,-22498,10.988,26.33
53,1,2.6417e+05,42.964,18.336,63066,22.62,27.889,-69722,-164.67,86.35,71261,-226.13,279.87
53,2,2.1758e+05,48.23,22.787,19337,8.1883,20.644,-44404,-150.27,81.154,45269,-98.806,275.85
53,3,1.344e+05,50.103,35.388,-45520,24.537,20.02,-13974,-120.96,39.543,49320,57.577,166.77
53,4,77159,107.7,23.218,61875,68.56,38.231,5712.9,98.695,212.89,16575,-4.299,58.472
53,5,-1.9437e+05,45.697,13.104,-1.5179e+05,30.468,17.557,-26209,-71.315,30.237,-33305,-8.8291,33.742
70,1,1.0543e+05,48.966,18.639,58685,35.02,21.481,55744,-86.734,26.378,36995,-1.0288,97.975
70,2,58017,57.754,21.321,-27500,1.3769,37.467,51459,-86.164,26.226,66609,33.779,102.67
70,3,79929,86.409,34.278,21449,45.447,20.884,51557,-82.968,29.077,34547,19.561,106.96
70,4,80133,85.629,21.839,55276,59.527,27.638,52353,-81.562,29.53,34052,16.682,105.4
70,5,-56426,49.74,7.4835,-83378,37.971,11.568,-12775,-99.648,16.229,-29865,21.356,18.098
71,1,79679,48.241,17.76,16679,24.372,21.122,1.237e+05,-107.26,16.785,25675,-28.157,96.019
71,2,25101,60.005,17.401,17637,42.347,23.232,1.0394e+05,-104.89,20.998,24714,27.83,163.52
71,3,18961,110.65,21.704,1.3865e+07,69.566,122.61,96802,-103.23,22.083,-1.3842e+07,69.584,122.49
71,4,63545,80.816,24.937,7480.3,44.488,20.481,1.0874e+05,-100.81,20.484,24503,7.5534,124.65
71,5,-39550,49.79,7.4414,-44675,38.071,11.846,-40580,-115.61,9.0757,-9787.3,11.411,23.446
92,1,93017,45.371,17.517,57957,24.647,21.612,2.0557e+05,-97.496,24.02,50562,-17.041,87.132
92,2,65034,49.36,31.326,-1.0015e+05,-180.81,92.37,1.8466e+05,-97.1,24.534,1.2681e+05,-356.83,358.56
92,3,88193,60.814,80.771,-33294,52.126,19.551,1.825e+05,-96.588,21.21,63790,-72.23,38.573
92,4,73138,83.406,26.786,9595.9,208.64,43.175,1.8923e+05,-92.615,28.156,59832,18.309,90.743
92,5,-47638,47.274,7.6808,-66083,34.99,12.059,-39043,-108.51,14.481,-30543,16.106,19.505
100,1,98335,49.877,20.419,65101,32.477,25.53,58889,-84.531,25.632,30299,5.8985,112.22
100,2,72497,60.763,33.658,-4642.9,23.221,14.375,62477,-79.311,26.389,34364,64.506,153.69
100,3,72204,82.913,93.77,2.1065e+06,-52.227,29.515,-2.0871e+06,-52.363,29.688,77966,-81.616,23.37
100,4,46865,88.68,22.018,64584,64.381,29.898,55706,-73.601,27.953,34562,41.601,128.59
100,5,-72545,45.073,11.36,-65136,27.461,18.156,-24964,-99.741,18.12,13246,-57.583,24.303
102,1,53072,44.143,19.31,57684,27.287,23.288,1.9044e+05,-105.32,22.028,31469,-23.608,98.106
102,2,43238,59.607,30.707,7706.6,30.032,20.626,1.749e+05,-101.57,24.175,31667,26.546,140.34
102,3,-74374,73.823,24.45,-2.9263e+08,27.057,67.35,1.9079e+05,-101.16,22.463,2.9268e+08,27.068,67.364
102,4,57894,83.087,53.425,11318,13.47,30.41,83178,-107.02,31.979,25704,-68.576,66.69
102,5,-41343,44.456,10.508,-65046,28.501,16.302,-1.0909e+05,-105.07,15.983,-18854,0.52457,28.319
121,1,1.0506e+05,41.81,17.784,42368,20.967,19.699,1.3348e+05,-105.02,24.777,44469,-17.961,95.642
121,2,63507,49.307,24.082,56955,-86.885,28.324,96118,-109.25,20.076,39456,31.109,146.04
121,3,1.0023e+05,41.275,91.433,-47088,16.667,49.993,1.0023e+05,-108.7,22.339,55513,-85.878,28.686
121,4,65212,75.893,23.362,30287,48.483,25.468,1.1233e+05,-100.41,28.407,40280,12.804,122.74
121,5,2.1039e+05,46.77,42.222,-1.6553e+05,42.242,23.011,-30456,-113.73,16.073,-1.3488e+05,27.607,36.256
122,1,-7.4832e+06,38.807,27.262,7.5491e+06,38.861,27.315,1.0102e+05,-108.37,28.75,37660,-2.0796,114.02
122,2,67983,25.664,115.95,-29761,-6.7844,45.722,59395,-114.5,19.488,55940,-94.854,25.253
122,3,-3.655e+07,-6.9895,49.914,3.6573e+07,-6.9895,49.952,1.0349e+05,-102.09,29.362,36661,130.64,110.39
122,4,65616,87.08,72.899,-1.0345e+07,-47.649,45.221,68510,-104.76,23.684,1.038e+07,-47.732,45.352
122,5,-24972,54.545,10.786,-42151,37.658,16.587,-41411,-126.57,17.886,-18723,12.648,25.561
